ISLA DEL COCO,10,PUNTARENAS,1,PUNTARENAS,6,1
LIMON,1,LIMON,1,LIMON,7,30
CAHUITA,3,TALAMANCA,4,LIMON,7,31
SIXAOLA,2,TALAMANCA,4,LIMON,7,32
TELIRE,4,TALAMANCA,4,LIMON,7,33
VALLE DE LA ESTRELLA,2,LIMON,1,LIMON,7,34
BRATSI,1,TALAMANCA,4,LIMON,7,37
BATAN,2,MATINA,5,LIMON,7,38
GOLFITO,1,GOLFITO,7,PUNTARENAS,6,40
GUAYCARA,3,GOLFITO,7,PUNTARENAS,6,43
MATINA,1,MATINA,5,LIMON,7,44
CHIRRIPO,12,TURRIALBA,5,CARTAGO,3,45
RIO BLANCO,3,LIMON,1,LIMON,7,46
MATAMA,4,LIMON,1,LIMON,7,47
CARRANDI,3,MATINA,5,LIMON,7,48
PACUARITO,2,SIQUIRRES,3,LIMON,7,49
COLORADO,6,POCOCI,2,LIMON,7,50
SIQUIRRES,1,SIQUIRRES,3,LIMON,7,51
BIOLLEY,8,BUENOS AIRES,3,PUNTARENAS,6,52
PITTIER,5,COTO BRUS,8,PUNTARENAS,6,53
AGUABUENA,3,COTO BRUS,8,PUNTARENAS,6,54
LA CUESTA,2,CORREDORES,10,PUNTARENAS,6,55
PAVON,4,GOLFITO,7,PUNTARENAS,6,56
CANOAS,3,CORREDORES,10,PUNTARENAS,6,57
LAUREL,4,CORREDORES,10,PUNTARENAS,6,58
SIERPE,3,OSA,5,PUNTARENAS,6,59
PUERTO JIMENEZ,2,GOLFITO,7,PUNTARENAS,6,66
PIEDRAS BLANCAS,5,OSA,5,PUNTARENAS,6,67
BRUNKA,9,BUENOS AIRES,3,PUNTARENAS,6,68
BUENOS AIRES,1,BUENOS AIRES,3,PUNTARENAS,6,69
PALMAR,2,OSA,5,PUNTARENAS,6,70
PUERTO CORTES,1,OSA,5,PUNTARENAS,6,71
PEJIBAYE,7,PEREZ ZELEDON,19,SAN JOSE,1,72
COLINAS,6,BUENOS AIRES,3,PUNTARENAS,6,73
VOLCAN,2,BUENOS AIRES,3,PUNTARENAS,6,74
PILAS,5,BUENOS AIRES,3,PUNTARENAS,6,75
PLATANARES,6,PEREZ ZELEDON,19,SAN JOSE,1,76
DANIEL FLORES,3,PEREZ ZELEDON,19,SAN JOSE,1,77
EL GENERAL,2,PEREZ ZELEDON,19,SAN JOSE,1,78
CAJON,8,PEREZ ZELEDON,19,SAN JOSE,1,79
SAN PEDRO,5,PEREZ ZELEDON,19,SAN JOSE,1,80
LA SUIZA,2,TURRIALBA,5,CARTAGO,3,81
RIVAS,4,PEREZ ZELEDON,19,SAN JOSE,1,82
TUIS,7,TURRIALBA,5,CARTAGO,3,83
FLORIDA,3,SIQUIRRES,3,LIMON,7,84
TRES EQUIS,10,TURRIALBA,5,CARTAGO,3,85
SANTA CRUZ,4,TURRIALBA,5,CARTAGO,3,87
TURRIALBA,1,TURRIALBA,5,CARTAGO,3,88
LA ISABEL,11,TURRIALBA,5,CARTAGO,3,89
SANTA TERESITA,5,TURRIALBA,5,CARTAGO,3,90
PERALTA,3,TURRIALBA,5,CARTAGO,3,91
PAVONES,6,TURRIALBA,5,CARTAGO,3,92
OCCIDENTAL,2,CARTAGO,1,CARTAGO,3,93
TUCURRIQUE,2,JIMENEZ,4,CARTAGO,3,94
COT,2,OREAMUNO,7,CARTAGO,3,95
DULCE NOMBRE,6,LA UNION,3,CARTAGO,3,96
POTRERO CERRADO,3,OREAMUNO,7,CARTAGO,3,97
SANTA ROSA,5,OREAMUNO,7,CARTAGO,3,98
EL TEJAR,1,EL GUARCO,8,CARTAGO,3,99
AGUACALIENTE O SAN FRANCISCO,5,CARTAGO,1,CARTAGO,3,100
SAN NICOLAS,4,CARTAGO,1,CARTAGO,3,101
ORIENTAL,1,CARTAGO,1,CARTAGO,3,102
CARMEN,3,CARTAGO,1,CARTAGO,3,103
GUADALUPE O ARENILLA,6,CARTAGO,1,CARTAGO,3,104
SANTIAGO,2,PARAISO,2,CARTAGO,3,105
CIPRESES,4,OREAMUNO,7,CARTAGO,3,106
JUAN VINAS,1,JIMENEZ,4,CARTAGO,3,107
CACHI,4,PARAISO,2,CARTAGO,3,108
PACAYAS,1,ALVARADO,6,CARTAGO,3,109
LLANO GRANDE,10,CARTAGO,1,CARTAGO,3,110
TIERRA BLANCA,8,CARTAGO,1,CARTAGO,3,111
LA ALEGRIA,6,SIQUIRRES,3,LIMON,7,112
POCORA,3,GUACIMO,6,LIMON,7,113
GERMANIA,4,SIQUIRRES,3,LIMON,7,114
JIMENES,2,POCOCI,2,LIMON,7,115
DUACARI,5,GUACIMO,6,LIMON,7,116
GUACIMO,1,GUACIMO,6,LIMON,7,117
RIO JIMENES,4,GUACIMO,6,LIMON,7,118
MERCEDES,2,GUACIMO,6,LIMON,7,119
EL CAIRO,5,SIQUIRRES,3,LIMON,7,120
CARIARI,5,POCOCI,2,LIMON,7,121
BAHIA BALLENA,4,OSA,5,PUNTARENAS,6,122
SANTA ANA,1,SANTA ANA,9,SAN JOSE,1,123
SALITRAL,2,SANTA ANA,9,SAN JOSE,1,124
SAN ANTONIO,2,ESCAZU,2,SAN JOSE,1,125
SAN RAFAEL,4,LA UNION,3,CARTAGO,3,126
TRES RIOS,1,LA UNION,3,CARTAGO,3,127
SAN JUAN,3,LA UNION,3,CARTAGO,3,128
ZAPOTE,5,SAN JOSE,1,SAN JOSE,1,129
GRANADILLA,2,CURRIDABAT,18,SAN JOSE,1,130
MATA REDONDA,8,SAN JOSE,1,SAN JOSE,1,132
PAVAS,9,SAN JOSE,1,SAN JOSE,1,133
URUCA,7,SAN JOSE,1,SAN JOSE,1,134
COLIMA,5,TIBAS,13,SAN JOSE,1,136
SAN VICENTE,1,MORAVIA,14,SAN JOSE,1,137
PATALILLO,4,VAZQUEZ DE CORONADO,11,SAN JOSE,1,138
SABANILLA,2,MONTES DE OCA,15,SAN JOSE,1,139
PARACITO,4,SANTO DOMINGO,3,HEREDIA,4,140
LA TRINIDAD,3,MORAVIA,14,SAN JOSE,1,141
GUADALUPE,1,GOICOECHEA,8,SAN JOSE,1,142
RIO SEGUNDO,9,ALAJUELA,1,ALAJUELA,2,143
SANTO TOMAS,5,SANTO DOMINGO,3,HEREDIA,4,144
MATA DE PLATANO,4,GOICOECHEA,8,SAN JOSE,1,145
PURRAL,7,GOICOECHEA,8,SAN JOSE,1,146
PALMICHAL,3,ACOSTA,12,SAN JOSE,1,147
SAN FELIPE,5,ALAJUELITA,10,SAN JOSE,1,148
BRASIL,6,SANTA ANA,9,SAN JOSE,1,149
PIEDADES,5,SANTA ANA,9,SAN JOSE,1,150
POZOS,3,SANTA ANA,9,SAN JOSE,1,151
TABARCIA,3,MORA,7,SAN JOSE,1,152
ASERRI,1,ASERRI,6,SAN JOSE,1,154
SAN JUAN DE DIOS,3,DESAMPARADOS,3,SAN JOSE,1,155
SAN RAFAEL ARRIBA,4,DESAMPARADOS,3,SAN JOSE,1,156
SAN RAFAEL ABAJO,11,DESAMPARADOS,3,SAN JOSE,1,157
DESAMPARADOS,1,DESAMPARADOS,3,SAN JOSE,1,158
SAN DIEGO,2,LA UNION,3,CARTAGO,3,160
PATARRA,7,DESAMPARADOS,3,SAN JOSE,1,161
DAMAS,10,DESAMPARADOS,3,SAN JOSE,1,162
LOS GUIDO,13,DESAMPARADOS,3,SAN JOSE,1,163
RIO AZUL,8,LA UNION,3,CARTAGO,3,164
CONCEPCION,4,ALAJUELITA,10,SAN JOSE,1,165
ALAJUELITA,1,ALAJUELITA,10,SAN JOSE,1,166
SAN JOSECITO,2,ALAJUELITA,10,SAN JOSE,1,167
ESCAZU,1,ESCAZU,2,SAN JOSE,1,169
LA ASUNCION,3,BELEN,7,HEREDIA,4,170
LLORENTE,3,FLORES,8,HEREDIA,4,171
ULLOA,4,HEREDIA,1,HEREDIA,4,172
TURES,7,SANTO DOMINGO,3,HEREDIA,4,174
SAN MIGUEL,3,SANTO DOMINGO,3,HEREDIA,4,175
TIRRASES,4,CURRIDABAT,18,SAN JOSE,1,176
SANCHEZ,3,CURRIDABAT,18,SAN JOSE,1,177
SAN RAMON,7,LA UNION,3,CARTAGO,3,178
CURRIDABAT,1,CURRIDABAT,18,SAN JOSE,1,180
CATEDRAL,4,SAN JOSE,1,SAN JOSE,1,181
MERCED,2,SAN JOSE,1,SAN JOSE,1,182
HATILLO,10,SAN JOSE,1,SAN JOSE,1,183
SAN SEBASTIAN,11,SAN JOSE,1,SAN JOSE,1,184
HOSPITAL,3,SAN JOSE,1,SAN JOSE,1,185
SAN FRANCISCO,2,GOICOECHEA,8,SAN JOSE,1,186
CALLE BLANCOS,3,GOICOECHEA,8,SAN JOSE,1,187
LEON XIII,4,TIBAS,13,SAN JOSE,1,188
CASCAJAL,5,VAZQUEZ DE CORONADO,11,SAN JOSE,1,191
EL CARMEN,1,SAN JOSE,1,SAN JOSE,1,192
SANTO DOMINGO,1,SANTO DOMINGO,3,HEREDIA,4,193
SAN ISIDRO,2,EL GUARCO,8,CARTAGO,3,194
TOBOSI,3,EL GUARCO,8,CARTAGO,3,195
SAN FRANCISCO DE DOS RIOS,6,SAN JOSE,1,SAN JOSE,1,196
CINCO ESQUINAS,2,TIBAS,13,SAN JOSE,1,199
ANSELMO LLORENTE,3,TIBAS,13,SAN JOSE,1,200
JARDIN,2,DOTA,17,SAN JOSE,1,201
COPEY,3,DOTA,17,SAN JOSE,1,202
SAN MARCOS,1,TARRAZU,5,SAN JOSE,1,203
SANTA MARIA,1,DOTA,17,SAN JOSE,1,204
PATIO DE AGUA,4,EL GUARCO,8,CARTAGO,3,205
PARAISO,1,PARAISO,2,CARTAGO,3,207
OROSI,3,PARAISO,2,CARTAGO,3,208
SAN ISIDRO DEL GENERAL,1,PEREZ ZELEDON,19,SAN JOSE,1,209
PARAMO,11,PEREZ ZELEDON,19,SAN JOSE,1,210
RITA,3,POCOCI,2,LIMON,7,211
ROXANA,4,POCOCI,2,LIMON,7,212
VARABLANCA,5,HEREDIA,1,HEREDIA,4,213
LA VIRGEN,2,SARAPIQUI,10,HEREDIA,4,214
LLANURAS DEL GASPAR,4,SARAPIQUI,10,HEREDIA,4,215
CERVANTES,2,ALVARADO,6,CARTAGO,3,216
CAPELLADES,3,ALVARADO,6,CARTAGO,3,217
DULCE NOMBRE DE JESUS,3,VAZQUEZ DE CORONADO,11,SAN JOSE,1,219
LLANO BONITO,3,LEON CORTES,20,SAN JOSE,1,221
SAN LORENZO,2,TARRAZU,5,SAN JOSE,1,222
SAN CARLOS,3,TARRAZU,5,SAN JOSE,1,223
PARRITA,1,PARRITA,9,PUNTARENAS,6,224
LEGUA,5,ASERRI,6,SAN JOSE,1,225
SAN PABLO,1,LEON CORTES,20,SAN JOSE,1,226
SAN IGNACIO,1,ACOSTA,12,SAN JOSE,1,227
MONTERREY,6,ASERRI,6,SAN JOSE,1,228
FRAILES,6,DESAMPARADOS,3,SAN JOSE,1,229
CORRALILLO,7,CARTAGO,1,CARTAGO,3,230
SAN CRISTOBAL,8,DESAMPARADOS,3,SAN JOSE,1,231
SAN ANDRES,2,LEON CORTES,20,SAN JOSE,1,232
CANGREJAL,4,ACOSTA,12,SAN JOSE,1,233
VUELTA DE JORCO,3,ASERRI,6,SAN JOSE,1,235
TARBACA,2,ASERRI,6,SAN JOSE,1,236
